"","var_name","label"
"1","banksstslh","lh-Banks of Superior Temporal Sulcus"
"2","cdacatelh","lh-caudalanteriorcingulate"
"3","cdmdfrlh","lh-caudalmiddlefrontal"
"4","cuneuslh","lh-cuneus"
"5","ehinallh","lh-entorhinal"
"6","fusiformlh","lh-fusiform"
"7","ifpllh","lh-inferiorparietal"
"8","iftmlh","lh-inferiortemporal"
"9","ihcatelh","lh-isthmuscingulate"
"10","locclh","lh-lateraloccipital"
"11","lobfrlh","lh-lateralorbitofrontal"
"12","linguallh","lh-lingual"
"13","mobfrlh","lh-medialorbitofrontal"
"14","mdtmlh","lh-middletemporal"
"15","parahpallh","lh-parahippocampal"
"16","paracnlh","lh-paracentral"
"17","parsopclh","lh-parsopercularis"
"18","parsobislh","lh-parsorbitalis"
"19","parstgrislh","lh-parstriangularis"
"20","pericclh","lh-pericalcarine"
"21","postcnlh","lh-postcentral"
"22","ptcatelh","lh-posteriorcingulate"
"23","precnlh","lh-precentral"
"24","pclh","lh-precuneus"
"25","rracatelh","lh-rostralanteriorcingulate"
"26","rrmdfrlh","lh-rostralmiddlefrontal"
"27","sufrlh","lh-superiorfrontal"
"28","supllh","lh-superiorparietal"
"29","sutmlh","lh-superiortemporal"
"30","smlh","lh-supramarginal"
"31","frpolelh","lh-frontalpole"
"32","tmpolelh","lh-temporalpole"
"33","trvtmlh","lh-transversetemporal"
"34","insulalh","lh-insula"
"35","banksstsrh","rh-Banks of Superior Temporal Sulcus"
"36","cdacaterh","rh-caudalanteriorcingulate"
"37","cdmdfrrh","rh-caudalmiddlefrontal"
"38","cuneusrh","rh-cuneus"
"39","ehinalrh","rh-entorhinal"
"40","fusiformrh","rh-fusiform"
"41","ifplrh","rh-inferiorparietal"
"42","iftmrh","rh-inferiortemporal"
"43","ihcaterh","rh-isthmuscingulate"
"44","loccrh","rh-lateraloccipital"
"45","lobfrrh","rh-lateralorbitofrontal"
"46","lingualrh","rh-lingual"
"47","mobfrrh","rh-medialorbitofrontal"
"48","mdtmrh","rh-middletemporal"
"49","parahpalrh","rh-parahippocampal"
"50","paracnrh","rh-paracentral"
"51","parsopcrh","rh-parsopercularis"
"52","parsobisrh","rh-parsorbitalis"
"53","parstgrisrh","rh-parstriangularis"
"54","periccrh","rh-pericalcarine"
"55","postcnrh","rh-postcentral"
"56","ptcaterh","rh-posteriorcingulate"
"57","precnrh","rh-precentral"
"58","pcrh","rh-precuneus"
"59","rracaterh","rh-rostralanteriorcingulate"
"60","rrmdfrrh","rh-rostralmiddlefrontal"
"61","sufrrh","rh-superiorfrontal"
"62","suplrh","rh-superiorparietal"
"63","sutmrh","rh-superiortemporal"
"64","smrh","rh-supramarginal"
"65","frpolerh","rh-frontalpole"
"66","tmpolerh","rh-temporalpole"
"67","trvtmrh","rh-transversetemporal"
"68","insularh","rh-insula"
"69","meanlh","Mean cortical thickness in mm for left hemisphere"
"70","meanrh","Mean cortical thickness in mm for right hemisphere"
"71","mean","Mean cortical thickness in mm for whole brain"
